备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025000268,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20247007,中文名称：/;英文名称：Baxalta US Inc,"300 Shire Way, Lexington, MA 02421 US",中文名称：/;英文名称：Baxalta US Inc.,"300 Shire Way, Lexington, MA 02421 US",武田（中国）国际贸易有限公司,中国（上海）自由贸易试验区美盛路56号2层220室,"根据《中国药典》三部（2020年版）人血白蛋白“3.3.3.3纯度”，将本品注册标准“纯度”项更新为“按《中国药典》三部（2020年版）通则0541第二法《醋酸纤维素薄膜电泳法》或第三法《琼脂糖凝胶电泳法》进行，白蛋白含量应不低于蛋白质总量的96%”，其它内容不变。涉及规格为：10g/袋(20%, 50ml)、12.5g/袋（25%，50ml)、25g/袋（25%，100ml)。",2025-02-26,国家药品监督管理局药品审评中心,已备案
国备2025000370,中文：醋酸戈舍瑞林缓释植入剂;英文/拉丁文：Goserelin Acetate Sustained-Release Depot,国药准字HJ20160259,中文名称：/;英文名称：AstraZeneca UK Limited,"1 FRANCIS CRICK AVENUE, CAMBRIDGE, CB2 0AA, UNITED KINGDOM",中文名称：/;英文名称：AstraZeneca UK Limited,"SILK ROAD BUSINESS PARK, MACCLESFIELD,CHESHIRE, SK10 2NA, UNITED KINGDOM",阿斯利康投资（中国）有限公司,中国（上海）自由贸易试验区亮景路199号,"根据醋酸戈舍瑞林缓释植入剂3.6mg进口小包装产品2024年1月10日的备案内容（备案号：国备2024000068），更新本品3.6mg国内分包装产品的相应信息。具体更新内容如下：
1. 更新本品国内分包装产品上市许可持有人（AstraZeneca UK Limited）地址，由“600 Capability Green, Luton, LU1 3LU, U.K.”变更为“1 FRANCIS CRICK AVENUE, CAMBRIDGE, CB2 0AA, UNITED KINGDOM”。仅上市许可持有人注册地址发生改变，实际持有人未发生变更。同时更新说明书和标签相应内容。
2. 更新生产企业（AstraZeneca UK Limited）地址描述，由“SILK ROAD BUSINESS PARK, MACCLESFIELD, CHESHIRE, SK10 2NA, UK”变更为“SILK ROAD BUSINESS PARK, MACCLESFIELD, CHESHIRE, SK10 2NA, UNITED KINGDOM”。实际生产地址未发生改变。同时更新说明书和标签相应内容。
3. 更新分包装说明书和标签上批准文号描述，由“进口药品大包装注册证号：国药准字HJ20160260；进口药品小包装注册证号：国药准字HJ20160259”更新为“国药准字HJ20160259”。实际批准文号未发生变更。
4. 更新境内联系人，由“名称：阿斯利康（无锡）贸易有限公司，地址：无锡市新吴区净慧东路汇融商务广场E楼（5号楼）”更新为“名称：阿斯利康制药有限公司；注册地址：无锡市新区黄山路2号”，同时更新说明书信息。
5. 对说明书中标题、【成份】、【性状】、【临床药理】、【贮藏】、【执行标准】、【上市许可持有人】、【分包装厂】和【境内联系人】格式和文字表述进行规范修改，同时更新标签相应内容。
6. 删除本品纸盒上中文说明性信息的英文翻译。",2025-03-06,国家药品监督管理局药品审评中心,已备案
国备2025000299,中文：醋酸戈舍瑞林缓释植入剂;英文/拉丁文：Goserelin Acetate Sustained-Release Depot,国药准字HJ20160245,中文名称：/;英文名称：AstraZeneca UK Limited,"1 FRANCIS CRICK AVENUE, CAMBRIDGE, CB2 0AA, UNITED KINGDOM",中文名称：/;英文名称：AstraZeneca UK Limited,"SILK ROAD BUSINESS PARK, MACCLESFIELD,CHESHIRE, SK10 2NA, UNITED KINGDOM",阿斯利康投资（中国）有限公司,中国（上海）自由贸易试验区亮景路199号,对醋酸戈舍瑞林缓释植入剂使用的原料药生产工艺进行改进以保护操作员，同时合并批量变更。新增原料药质量控制检验场地。此外，更新原料药内控标准和分析方法。原料药合成路径，原材料及生产使用的试剂或溶剂无变更。,2025-02-28,国家药品监督管理局药品审评中心,已备案
国备2025000298,中文：醋酸戈舍瑞林缓释植入剂;英文/拉丁文：Goserelin Acetate Sustained-Release Depot,国药准字HJ20160244,中文名称：/;英文名称：AstraZeneca UK Limited,"1 FRANCIS CRICK AVENUE, CAMBRIDGE, CB2 0AA, UNITED KINGDOM",中文名称：/;英文名称：AstraZeneca UK Limited,"SILK ROAD BUSINESS PARK, MACCLESFIELD,CHESHIRE, SK10 2NA, UNITED KINGDOM",阿斯利康投资（中国）有限公司,中国（上海）自由贸易试验区亮景路199号,对醋酸戈舍瑞林缓释植入剂使用的原料药生产工艺进行改进以保护操作员，同时合并批量变更。新增原料药质量控制检验场地。此外，更新原料药内控标准和分析方法。原料药合成路径，原材料及生产使用的试剂或溶剂无变更。,2025-02-28,国家药品监督管理局药品审评中心,已备案
国备2025000297,中文：醋酸戈舍瑞林缓释植入剂;英文/拉丁文：Goserelin Acetate Sustained-Release Depot,国药准字HJ20160260,中文名称：/;英文名称：AstraZeneca UK Limited,"1 FRANCIS CRICK AVENUE, CAMBRIDGE, CB2 0AA, UNITED KINGDOM",中文名称：/;英文名称：AstraZeneca UK Limited,"SILK ROAD BUSINESS PARK, MACCLESFIELD,CHESHIRE, SK10 2NA, UNITED KINGDOM",阿斯利康投资（中国）有限公司,中国（上海）自由贸易试验区亮景路199号,对醋酸戈舍瑞林缓释植入剂使用的原料药生产工艺进行改进以保护操作员，同时合并批量变更。新增原料药质量控制检验场地。此外，更新原料药内控标准和分析方法。原料药合成路径，原材料及生产使用的试剂或溶剂无变更。,2025-02-28,国家药品监督管理局药品审评中心,已备案
国备2025000343,中文：利伐沙班片;英文/拉丁文：Rivaroxaban Tablets,国药准字HJ20200024,中文名称：/;英文名称：Bayer AG,"51368 Leverkusen, Germany",中文名称：/;英文名称：Bayer AG,"Kaiser-Wilhelm-Allee, 51368 Leverkusen, Germany",拜耳医药保健有限公司,北京市北京经济技术开发区荣京东街7号,申请利伐沙班片2.5mg国内分包装用的大包装的包装规格，大包装规格为420000片/桶，分包装企业为拜耳医药保健有限公司。,2025-03-05,国家药品监督管理局药品审评中心,已备案
国备2025000523,中文：利伐沙班片;英文/拉丁文：Rivaroxaban Tablets,国药准字HJ20181084,中文名称：/;英文名称：Bayer AG,"51368 Leverkusen, Germany",中文名称：/;英文名称：Bayer AG,"Kaiser-Wilhelm-Allee, 51368 Leverkusen, Germany",拜耳医药保健有限公司,北京市北京经济技术开发区荣京东街7号,根据已获国家药品监督管理局批准的按照欧洲药典各论<3021>更新利伐沙班片的药品注册标准，对本品进口分包装药品的说明书和标签中【性状】、【贮藏】、【执行标准】项进行相应的修订并备案。,2025-03-21,国家药品监督管理局药品审评中心,已备案
国备2025000522,中文：利伐沙班片;英文/拉丁文：Rivaroxaban Tablets,国药准字HJ20181083,中文名称：/;英文名称：Bayer AG,"51368 Leverkusen, Germany",中文名称：/;英文名称：Bayer AG,"Kaiser-Wilhelm-Allee, 51368 Leverkusen, Germany",拜耳医药保健有限公司,北京市北京经济技术开发区荣京东街7号,根据已获国家药品监督管理局批准的按照欧洲药典各论<3021>更新利伐沙班片的药品注册标准，对本品进口分包装药品的说明书和标签中【性状】、【贮藏】、【执行标准】项进行相应的修订并备案。,2025-03-21,国家药品监督管理局药品审评中心,已备案
国备2025000321,中文：富马酸喹硫平片;英文/拉丁文：Quetiapine Fumarate Tablets,国药准字HJ20240033,中文名称：— — — —;英文名称：Dr Reddys Laboratories Limited,"FTO Unit 3, Survey No.41, 42 part, 45 part & 46 part, Bachupally Village and Mandal, Medchal-Malkajgiri District-500090 Telangana State, INDIA.",中文名称：— — — —;英文名称：Dr Reddys Laboratories Limited,"FTO Unit 3, Survey No.41, 42 part, 45 part & 46 part, Bachupally Village and Mandal, Medchal-Malkajgiri District-500090 Telangana State, INDIA.",瑞迪博士（北京）药业有限公司,北京市朝阳区建国路91号院8号楼15层1509单元,"1）变更原料药富马酸喹硫平质量标准中鉴别（1）检测项下稀盐酸的用量，由3ml变更为2ml；
2）变更辅料羧甲淀粉钠质量标准中鉴别（3）检测项的检测方法，更新至与中国药典2020版一致。",2025-03-01,国家药品监督管理局药品审评中心,已备案
国备2025000320,中文：富马酸喹硫平片;英文/拉丁文：Quetiapine Fumarate Tablets,国药准字HJ20240031,中文名称：— — — —;英文名称：Dr Reddys Laboratories Limited,"FTO Unit 3, Survey No.41, 42 part, 45 part & 46 part, Bachupally Village and Mandal, Medchal-Malkajgiri District-500090 Telangana State, INDIA.",中文名称：— — — —;英文名称：Dr Reddys Laboratories Limited,"FTO Unit 3, Survey No.41, 42 part, 45 part & 46 part, Bachupally Village and Mandal, Medchal-Malkajgiri District-500090 Telangana State, INDIA.",瑞迪博士（北京）药业有限公司,北京市朝阳区建国路91号院8号楼15层1509单元,"1）变更原料药富马酸喹硫平质量标准中鉴别（1）检测项下稀盐酸的用量，由3ml变更为2ml；
2）变更辅料羧甲淀粉钠质量标准中鉴别（3）检测项的检测方法，更新至与中国药典2020版一致。",2025-03-01,国家药品监督管理局药品审评中心,已备案
国备2025000319,中文：富马酸喹硫平片;英文/拉丁文：Quetiapine Fumarate Tablets,国药准字HJ20240032,中文名称：— — — —;英文名称：Dr Reddys Laboratories Limited,"FTO Unit 3, Survey No.41, 42 part, 45 part & 46 part, Bachupally Village and Mandal, Medchal-Malkajgiri District-500090 Telangana State, INDIA.",中文名称：— — — —;英文名称：Dr Reddys Laboratories Limited,"FTO Unit 3, Survey No.41, 42 part, 45 part & 46 part, Bachupally Village and Mandal, Medchal-Malkajgiri District-500090 Telangana State, INDIA.",瑞迪博士（北京）药业有限公司,北京市朝阳区建国路91号院8号楼15层1509单元,"1）变更原料药富马酸喹硫平质量标准中鉴别（1）检测项下稀盐酸的用量，由3ml变更为2ml；
2）变更辅料羧甲淀粉钠质量标准中鉴别（3）检测项的检测方法，更新至与中国药典2020版一致。",2025-03-01,国家药品监督管理局药品审评中心,已备案
国备2025000352,中文：达比加群酯胶囊;英文/拉丁文：Dabigatran Etexilate Capsules,国药准字HJ20170135&国药准字HJ20170148&国药准字HJ20170137,中文名称：无;英文名称：Boehringer Ingelheim International GmbH,"Binger Strasse 173, 55216 Ingelheim am Rhein, Germany",中文名称：无;英文名称：Boehringer Ingelheim Pharma GmbH & Co. KG,"Binger Strasse 173, 55216 Ingelheim am Rhein, Germany",勃林格殷格翰（中国）投资有限公司,中国（上海）自由贸易试验区李时珍路257号1号楼,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号），新增本品分包装产品的药品说明书（简化版）及电子药品说明书（完整版）。,2025-03-05,国家药品监督管理局药品审评中心,已备案
国备2025000353,中文：达比加群酯胶囊;英文/拉丁文：Dabigatran Etexilate Capsules,国药准字HJ20170136&国药准字HJ20170149&国药准字HJ20170138,中文名称：无;英文名称：Boehringer Ingelheim International GmbH,"Binger Strasse 173, 55216 Ingelheim am Rhein, Germany",中文名称：无;英文名称：Boehringer Ingelheim Pharma GmbH & Co. KG,"Binger Strasse 173, 55216 Ingelheim am Rhein, Germany",勃林格殷格翰（中国）投资有限公司,中国（上海）自由贸易试验区李时珍路257号1号楼,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号），新增本品分包装产品的药品说明书（简化版）及电子药品说明书（完整版）。,2025-03-05,国家药品监督管理局药品审评中心,已备案
国备2025000519,中文：多种微量元素注射液(Ⅲ);英文/拉丁文：Multi-trace Elements Injection (Ⅲ),国药准字HJ20210060,中文名称：无;英文名称：Fresenius Kabi Deutschland GmbH,"Else-Kröner-Straße 1, 61352 Bad Homburg v. d. Höhe, Germany",中文名称：无;英文名称：HP Halden Pharma AS,"Svinesundsveien 80,1788 Halden, Norway",费森尤斯卡比华瑞制药有限公司,江苏省无锡市滨湖区马山北闸路16号,本品原料药氯化锌生产商Merck公司新增生产场地-默克生命科学技术（南通）有限公司（生产地址：江苏省南通经济技术开发区江港路39号）,2025-03-21,国家药品监督管理局药品审评中心,已备案
国备2025000461,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20180013,中文名称：无;英文名称：Octapharma GmbH,"Elisabeth-Selbert-Straße 11, 40764 Langenfeld, Germany",中文名称：无;英文名称：Octapharma Produktionsgesellschaft Deutschland mbH,"Wolfgang-Marguerre-Allee 1, 31832 Springe, Germany",四川兴科蓉药业有限责任公司,中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号,"1.根据境内责任人兼注册代理机构《营业执照》，规范其注册地址为“中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号”，实际地址无变化。
2.根据国家药监局关于修订人血白蛋白注射剂说明书的公告（2025年第5号），在说明书【不良反应】项下增加公告要求的内容。
3.根据国家药监局关于发布《境外药品上市许可持有人指定境内责任人管理暂行规定》的公告（2024年第137号），在说明书中列出下述信息：
【境内责任人】 
名称：四川兴科蓉药业有限责任公司 
地址：中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号 
电话：028-62912988",2025-03-14,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第437号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000411,中文：麦考酚钠肠溶片;英文/拉丁文：Mycophenolate Sodium Enteric-coated Tablets,国药准字HJ20160051国药准字HJ20201003,中文名称：/;英文名称：Novartis Pharma GmbH,"Sophie-Germain-Strasse 10, 90443 Nuremberg, Germany",中文名称：/;英文名称：Novartis Pharma Produktions GmbH,"Oeflinger Strasse 44, 79664 Wehr, Germany",北京诺华制药有限公司,北京市昌平区永安路31号,根据本品进口小包装已备案公示的说明书和小盒标签修订内容（国备202500256，国备202500254），相应的修订分包装说明书和小盒标签内容，以与进口小包装说明书和小盒标签保持一致。,2025-03-08,国家药品监督管理局药品审评中心,已备案
Y国备2025000397,中文：洛索洛芬钠;英文/拉丁文：Loxoprofen Sodium,Y20210000754,中文名称：无;英文名称：ANLON HEALTHCARE PVT. LTD.,"SURVEY NO. 36/2P2, NEAR PIPALIYA TOLL PLAZA, GONDAL ROAD, N.H. -27, TAL - GONDAL, CITY: PIPALIYA (SADAK), DIST.- RAJKOT GUJARAT STATE, INDIA",中文名称：无;英文名称：ANLON HEALTHCARE PVT. LTD.,"SURVEY NO. 36/2P2, NEAR PIPALIYA TOLL PLAZA, GONDAL ROAD, N.H. -27, TAL - GONDAL, CITY: PIPALIYA (SADAK), DIST.- RAJKOT GUJARAT STATE, INDIA",山东国茂企业管理有限公司,山东省青岛市市北区南京路377号,将本品有限期延长至48个月。,2025-03-07,国家药品监督管理局药品审评中心,已备案
国备2025000271,中文：莫诺拉韦胶囊;英文/拉丁文：Molnupiravir Capsules,国药准字HJ20220097,中文名称：无;英文名称：MERCK SHARP & DOHME (UK) LIMITED,"120 MOORGATE, LONDON, EC2M 6UR, UNITED KINGDOM",中文名称：无;英文名称：PATHEON INCORPORATED,"111 CONSUMERS DRIVE, WHITBY, L1N 5Z5, CANADA",默沙东研发（中国）有限公司,北京市朝阳区容达路21号楼L2-13层,更正制剂生产工艺信息表中关于胶囊灌装速度的描述，更正后的描述为“胶囊灌装速度70~130个模具/min（segments/min）”。本次备案仅为信息更正，不涉及实际变更。,2025-02-27,国家药品监督管理局药品审评中心,经审查，此次备案为对药品注册证书及其附件中的错误进行更正，不属于上市后备案类变更的范畴，请按照勘误流程办理。
国备2025000293,中文：帕妥珠曲妥珠单抗注射液（皮下注射）;英文/拉丁文：Pertuzumab and Trastuzumab Injection(Subcutaneous Injection),国药准字SJ20230019,中文名称：/;英文名称：Roche Pharma (Schweiz) AG,"Grenzacherstrasse 124, 4058 Basel, Switzerland",中文名称：/;英文名称：F. Hoffmann-La Roche Ltd,"Wurmisweg, 4303 Kaiseraugst, Switzerland",罗氏（中国）投资有限公司,中国（上海）自由贸易试验区龙东大道1100号4号楼,为本品曲妥珠原液放行检测中的生物负荷检项引入可选的自动菌落计数器方法，可接受标准无变更。,2025-02-28,国家药品监督管理局药品审评中心,已备案
国备2025000576,中文：精蛋白锌重组赖脯胰岛素混合注射液(25R);英文/拉丁文：Mixed Protamine Zinc Recombinant Human Insulin Lispro Injection(25R),国药准字SJ20160043,中文名称：无;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528 BJ Utrecht, The Netherlands",中文名称：无;英文名称：Lilly France S.A.S.,"2 Rue du Colonel Lilly, 67640 Fegersheim, France",礼来苏州制药有限公司,苏州工业园区方中街109号,"1. 将精蛋白锌重组赖脯胰岛素混合注射液(25R)生产厂和包装厂名称由“Lilly France"" 更改为“Lilly France S. A. S. "" 。本变更仅名称的修订， 属于行政性变更，实际生产厂和包装厂无变更。2. 同时更新本品说明书及内、外包装盒及其他批准文件附件中【生产企业】信息。",2025-03-28,国家药品监督管理局药品审评中心,已备案
国备2025000627,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20190037,中文名称：/;英文名称：Grifols Therapeutics LLC,"79 T.W. Alexander Drive 4101 Research Commons, Research Triangle Park, NC 27709, USA",中文名称：/;英文名称：Grifols Therapeutics LLC,"8368 Clayton Blvd, Clayton, NC 27520, USA",基立福医药科技（上海）有限公司,上海市静安区南京西路1515号北楼11层1101、1102、1103、1104、1105、 1106、 1107、1108、1109、1110室 (实际楼层10层),"由于街道名称的变化，生产地址从“8368 US 70 Business Hwy West, Clayton, NC 27520, USA”更新为“8368 Clayton Blvd, Clayton, NC 27520, USA”，并未涉及物理地址改变，说明书小盒标签作相应更新，另外，按照“国家药监局关于修订人血白蛋白注射剂说明书的公告（2025年第5号）”相关要求，更新本品说明书【不良反应】相关内容。",2025-04-01,国家药品监督管理局药品审评中心,已备案
国备2025001156,中文：肠内营养粉剂（AA-PA）;英文/拉丁文：Enteral Nutritional Powder (AA-PA),国药准字HJ20150394,中文名称：无;英文名称：SHS International Limited,"100 Wavertree Boulevard, Wavertree Technology Park, Liverpool L7 9PT, United Kingdom",中文名称：无;英文名称：SHS International Limited,"100 Wavertree Boulevard, Wavertree Technology Park, Liverpool L7 9PT, United Kingdom",纽迪希亚制药（无锡）有限公司,无锡市新吴区鑫明路17号,说明书标签备案：1.根据《药品再注册批准通知书》更新批准文号为“国药准字HJ20150394”。2.根据《境外药品上市许可持有人指定境内责任人管理暂行规定》增加境内责任人信息，“境内责任人及境内联系人”为“纽迪希亚制药（无锡）有限公司”。3.增加注册商标，包含“纽荃星”和“纽英特”。4.升级标签设计。5.增加说明书修改日期。,2025-05-24,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000285,中文：克林霉素磷酸酯外用溶液 ;英文/拉丁文：Clindamycin Phosphate Topical Solution,国药准字HC20150070,中文名称：澳美制药厂有限公司;英文名称：BRIGHT FUTURE PHARMACEUTICAL LABORATORIES LIMITED,"香港新界元朗工业村宏富街1&8号澳美制药中心(BF PHARMACEUTICAL CENTRE, NO.1&8 WANG FU STREET, YUEN LONG INDUSTRIAL ESTATE, YUEN LONG, N.T., HONG KONG.)",中文名称：澳美制药厂;英文名称：Bright Future Pharmaceuticals Factory,"香港新界元朗工业村宏富街1号澳美制药中心（BF PHARMACEUTICAL CENTRE, NO.1 WANG FU STREET, YUEN LONG INDUSTRIAL ESTATE, YUEN LONG, N.T., HONG KONG.）",深圳澳美制药技术开发有限公司,深圳市南山区粤海街道白石路与沙河西路交界处深圳湾科技生态园一区一期2栋A座4A01,"1、在说明书中增加境内责任人相关信息。
2、修订小盒的内容，具体如下： 
2.1对适应症所在面做如下修订：删除商标名称、药品通用名称、英文名称、图案、包装规格，修订“澳美制药 ”Logo，修订适应症内容的展现形式。
2.2将OTC标识、批准文号、外用标识、“请仔细阅读说明书并按说明使用或在药师指导下购买和使用”、药品追溯码、有效期、贮藏、药品上市许可持有人、注册地址、生产企业、生产地址由一面移至另一面。
3、修订标签的内容，具体如下：变更图案。",2025-02-27,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000794,中文：马来酸奈拉替尼片;英文/拉丁文：Neratinib Maleate Tablets,国药准字HJ20200009,"中文名称：无;英文名称：Puma Biotechnology, Inc.","10880 Wilshire Blvd., Suite 2150, Los Angeles, CA 90024 United States of America",中文名称：无;英文名称：Excella GmbH & Co. KG,"Nurnberger Strasse 12, Feucht, Bayern 90537 Germany",皮尔法伯（上海）医疗科技有限公司,上海市黄浦区汝南街63号404-58单元,"1. 根据2021年备案完成的“变更国内注册代理机构”的信息（由“北海康城（北京）医药科技有限公司”变更为“皮尔法伯（上海）医疗科技有限公司”），修订说明书和包装标签的相关信息。
2. 根据2025年最新批准的药品说明书，修订包装标签中“药品批准文号”的相关信息和【成份】、【贮藏】项下的描述（增加“请将本品放在儿童不能接触的地方""的描述）。
3. 对说明书中【上市许可持有人】、【生产企业】项下的格式和内容进行调整和完善，新增邮政编码/电话号码/传真号码/网址等信息。同时增加【境内责任人/境内联系人】信息。",2025-04-17,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000294,中文：盐酸哌甲酯缓释咀嚼片;英文/拉丁文：Methylphenidate Hydrochloride Extended-release Chewable Tablets,国药准字HJ20230143,"中文名称：无;英文名称：NextWave Pharmaceuticals Inc,a subsidiary of Tris Pharma Inc","2033 Us Highway 130, Monmouth Junction, NJ 08852 United States of America","中文名称：无;英文名称：Tris Pharma, Inc.","2033 US 130, Monmouth Junction, NJ 08852 United States of America",祐儿医药科技（上海）有限公司,中国（上海）自由贸易试验区张江路665号三层,20mg规格运输用包装标签对于包装规格，包装数量描述修订完善为“30片/瓶，1瓶/盒，24盒/箱”,2025-02-28,国家药品监督管理局药品审评中心,已备案
国备2025000683,中文：复方维生素U片;英文/拉丁文：Compound Vitamin U Tablets,国药准字HC20202000,"中文名称：建丰胃仙-U有限公司;英文名称：KIN FUNG WEISEN-U CO., LTD.","FLAT/RM A & B BLK 1 7/F, YAU TONG INDUSTRIAL BUILDING, 2 SHUNG SHUN STREET YAU TONG, KOWLOON","中文名称：正美药品有限公司;英文名称：JEAN-MARIE PHARMACAL CO., LTD.","1/F,GMP CTR, TAI PO IND ESTATE, 12 DAI FU ST, TAI PO,N. T.",北京精诚通医药科技有限公司,北京市海淀区花园路2号牡丹创业楼102室,变更注册代理机构“北京精诚永泰医药科技有限公司”为“北京精诚通医药科技有限公司”。,2025-04-04,国家药品监督管理局药品审评中心,已备案
国备2025000567,中文：ω-3脂肪酸乙酯90软胶囊;英文/拉丁文：Omega-3-acid ethyl ester 90 Soft Capsules,国药准字HJ20220042,中文名称：ABBOTT LABORATORIES LIMITED;英文名称：ABBOTT LABORATORIES LIMITED,"NO.1, UNIT 3101, 31ST FLOOR Q. HOUSE LUMPINI BUILDING, SOUTH SATHORN ROAD, THUNGMAHAMEK, SATHORN, BANGKOK 10120, THAILAND",中文名称：PATHEON SOFTGELS B.V.;英文名称：PATHEON SOFTGELS B.V.,"DE POSTHOORNSTRAAT 7 5048AS, TILBURG, THE NETHERLANDS",雅培贸易（上海）有限公司,中国（上海）自由贸易试验区美盛路56号4号楼109部位,"申请变更上市许可持有人注册地址，由“NO. 1 Q. HOUSE LUMPINI BUILDING, 30th & 33rd FLOOR, SOUTH SATHORN ROAD, THUNGMAHAMEK, SATHORN, BANGKOK 10120, THAILAND ”变更为“NO.1, UNIT 3101, 31ST FLOOR Q. HOUSE LUMPINI BUILDING, SOUTH SATHORN ROAD, THUNGMAHAMEK, SATHORN, BANGKOK 10120, THAILAND”,并相应修改说明书和标签。",2025-03-27,国家药品监督管理局药品审评中心,已备案
Y国备2025000313,中文：地氯雷他定;英文/拉丁文：Desloratadine,Y20190000120,"中文名称：INKE, S.A.;英文名称：INKE, S.A.","C/ Argent, 1. Area Industrial del Llobregat, 08755 CASTELLBISBAL (Barcelona) SPAIN","中文名称：INKE, S.A.;英文名称：INKE, S.A.","C/ Argent, 1. Area Industrial del Llobregat, 08755 CASTELLBISBAL (Barcelona) SPAIN",北京爱力佳医药科技有限公司,北京市海淀区高梁桥斜街59号院1号楼13层1315室,变更注册代理机构的注册地址，即：注册代理机构的注册地址由北京市海淀区高粱桥斜街59号院1号楼8层0816室变更为：北京市海淀区高梁桥斜街59号院1号楼13层1315室，其他不变。,2025-03-01,国家药品监督管理局药品审评中心,已备案
国备2025000448,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20220004,中文名称：无;英文名称：Octapharma France,"62 bis, avenue André Morizet, 92100 Boulogne Billancourt, France",中文名称：无;英文名称：Octapharma S.A.S.,"72, rue du Maréchal Foch, 67380 Lingolsheim, France",四川兴科蓉药业有限责任公司,中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号,"1.根据境内责任人兼注册代理机构《营业执照》，规范其注册地址为“中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号”，实际地址无变化。 2.根据国家药监局关于修订人血白蛋白注射剂说明书的公告（2025年第5号），在说明书【不良反应】项下增加公告要求的内容。 3.根据国家药监局关于发布《境外药品上市许可持有人指定境内责任人管理暂行规定》的公告（2024年第137号），在说明书中列出下述信息：
【境内责任人】 
名称：四川兴科蓉药业有限责任公司 
地址：中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号 
电话：028-62912988",2025-03-13,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第437号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000348,中文：依瑞奈尤单抗注射液;英文/拉丁文：Erenumab Injection,国药准字SJ20230014,中文名称：无;英文名称：Novartis Europharm Limited,"Vista Building, Elm Park, Merrion Road, Dublin 4, Ireland",中文名称：无;英文名称：Amgen Manufacturing Limited,"State Road 31, Km 24.6 Juncos, Puerto Rico, 00777-4060, United States",北京诺华制药有限公司,北京市昌平区永安路31号,1. 根据已批准的质量标准（JS20230030）对本品原液和制剂的内控分析方法（SE-UHPLC、HIC-HPLC、rCE-SDS和CEX-HPLC）进行微小更新及编辑性更新。 2. 对本品的原液和制剂的分析方法蛋白质浓度、pH值、渗透压摩尔浓度和细菌内毒素新增对中国药典中的索引。3. 对于可递送体积分析方法，将USP章节从USP <1> 变更为USP <697>，方法本身无实际变更。4. 在分析方法章节纳入编辑性变更,2025-03-05,国家药品监督管理局药品审评中心,已备案
国备2025000484,中文：乳果糖口服溶液;英文/拉丁文：Lactulose Oral Solution,国药准字HJ20171057,中文名称：/;英文名称：Abbott B.V.,"Wegalaan 9, 2132 JD Hoofddorp, The Netherlands",中文名称：/;英文名称：Abbott Biologicals B.V.,"Veerweg 12, 8121 AA OLST, The Netherlands",上海雅培制药有限公司,上海市奉贤区海湾镇五四公路1288号,将本品的注册代理机构由“雅培贸易（上海）有限公司，地址：中国（上海）自由贸易试验区美盛路56号4号楼109部位”变更为“上海雅培制药有限公司，地址：上海市奉贤区海湾镇五四公路1288号”。,2025-03-19,国家药品监督管理局药品审评中心,已备案
