备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025001961,中文：活络油 ;英文/拉丁文：/,国药准字ZC20160010,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,香港九龙大角咀埃华街28号永利工业大厦13字楼A座,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,九龙油塘高辉道17号油塘工业城B2座11字楼8，9，12室,北京佳禾乐康科技有限公司,北京市丰台区航丰路8号院2号楼-1层21号,将每瓶装60ml规格的有效期由“24个月”变更为“36个月”，同时对药品说明书及包装标签中【有效期】项做相应修订。,2025-08-12,国家药品监督管理局药品审评中心,已备案
国备2025002851,中文：佐匹克隆片;英文/拉丁文：Zopiclone Tablets,国药准字HJ20170183,中文名称：/;英文名称：SANOFI WINTHROP INDUSTRIE,"82 AVENUE RASPAIL, 94250 GENTILLY, France",中文名称：/;英文名称：OPELLA HEALTHCARE INTERNATIONAL SAS,"56 route de Choisy, 60200 COMPIEGNE, FRANCE",赛诺菲（中国）投资有限公司,北京市朝阳区建国路112号7层,"对2024年05月23日公示的“国备2024001106”及2024年09月30日公示的“国备2024002251”中“生产企业地址”描述进行勘误，由“56,route de Choisy-au-Bac, 60205 COMPIEGNE, FRANCE”变更为“56 route de Choisy, 60200 COMPIEGNE, FRANCE”。",2025-11-04,国家药品监督管理局药品审评中心,已备案
国备2025001974,中文：枸橼酸西地那非片;英文/拉丁文：Sildenafil Citrate Tablets,国药准字HJ20210068,中文名称：----;英文名称：Aurobindo Pharma Limited,"Unit-VII, SEZ, TSIIC, Plot No. S1, Survey No’s: 411/P, 425/P,434/P, 435/P & 458/P, Green Industrial Park, Polepally Village, Jedcherla Mandal,Mahaboobnagar District, Telangana State, India",中文名称：----;英文名称：Aurobindo Pharma Limited,"Unit-VII, SEZ, TSIIC, Plot No. S1, Survey No’s: 411/P, 425/P, 434/P,435/P & 458/P, Green Industrial Park, Polepally Village, Jedcherla Mandal,Mahaboobnagar District, Telangana State, India",安若维他药业泰州有限公司,泰州市医药高新区祥泰路196号,对进口分包装进行如下修订：（1）在已有的境内分包装用大包装规格基础上，新增进口分包装用大包装规格，新增大包装规格“2片/板，600板/箱；5片/板，1680板/箱”。（2）新增“5片/板，2板/盒”的包装规格用于进口分包装，同步修订说明书和外标签（纸盒）样稿。,2025-08-14,国家药品监督管理局药品审评中心,已备案
国备2025001975,中文：枸橼酸西地那非片;英文/拉丁文：Sildenafil Citrate Tablets,国药准字HJ20210069,中文名称：----;英文名称：Aurobindo Pharma Limited,"Unit-VII, SEZ, TSIIC, Plot No. S1, Survey No’s: 411/P, 425/P,434/P, 435/P & 458/P, Green Industrial Park, Polepally Village, Jedcherla Mandal,Mahaboobnagar District, Telangana State, India",中文名称：----;英文名称：Aurobindo Pharma Limited,"Unit-VII, SEZ, TSIIC, Plot No. S1, Survey No’s: 411/P, 425/P, 434/P,435/P & 458/P, Green Industrial Park, Polepally Village, Jedcherla Mandal,Mahaboobnagar District, Telangana State, India",安若维他药业泰州有限公司,泰州市医药高新区祥泰路196号,对进口分包装进行如下修订：（1）在已有的境内分包装用大包装规格基础上，新增本品进口分包装用大包装规格，100mg新增大包装规格“4片/板，1344板/箱”。（2）修订“4片/板，1板/盒”的外标签（纸盒）样稿，增加分包装企业信息，将其用于进口分包装。,2025-08-14,国家药品监督管理局药品审评中心,已备案
Y国备2025002147,中文：阿仑膦酸钠;英文/拉丁文：Alendronate Sodium,Y20220000174,中文名称：PHARMACEUTICAL WORKS POLPHARMA S.A.;英文名称：PHARMACEUTICAL WORKS POLPHARMA S.A.,"19 Pelplinska Street Poland-83-200 Starogard Gdanski, Pomorskie",中文名称：PHARMACEUTICAL WORKS POLPHARMA S.A.;英文名称：PHARMACEUTICAL WORKS POLPHARMA S.A.,"19 Pelplinska Street Poland-83-200 Starogard Gdanski, Pomorskie",广州市桐晖药业有限公司,广州市黄埔区科学大道181号1201房1203房（仅限办公）,根据国家药监局关于实施2025年版《中华人民共和国药典》有关事宜的公告（2025年第32号），将阿仑膦酸钠注册标准（YBY66152024）中引用的中国药典通则版本升级为2025年版。仅引用的药典通则升级，方法及限度等均不变。,2025-08-29,国家药品监督管理局药品审评中心,已备案
国备2025001869,中文：硫酸特布他林吸入溶液;英文/拉丁文：Terbutaline Sulfate Inhalation Solution,国药准字HJ20140108,中文名称：/;英文名称：AstraZeneca AB,"SE-151 85, Sodertalje Sweden",中文名称：/;英文名称：AstraZeneca AB,"Forskargatan 18, 151 36 Södertälje, Sweden",阿斯利康投资（中国）有限公司,中国（上海）自由贸易试验区亮景路199号,"1.根据国家药监局关于实施《中华人民共和国药典》有关事宜的公告（2025年第32号）和《中国药典》2025年版硫酸特布他林吸入溶液各论的内容，更新本品药品注册证书中载明的“药品名称”信息为“硫酸特布他林吸入溶液”，“英文名”为“Terbutaline Sulfate Inhalation Solution”，并按照公告要求将原名称“硫酸特布他林雾化吸入用溶液”和“Terbutaline Sulfate Nebuliser Solution”作为曾用名过渡使用。同步更新本品进口药品注册标准、说明书及标签中的相应内容。
2.根据《中国药典》2025年版硫酸特布他林各论，规范本品化学名称及分子量，无实质变更，并更新说明书相应内容。
3.根据2022年第28号《化学药品及生物制品说明书通用格式和撰写指南》规范说明书【上市许可持有人】项下条目名称为“名称”和“注册地址”。",2025-07-31,国家药品监督管理局药品审评中心,已备案
国备2025001932,中文：骨化三醇胶丸;英文/拉丁文：Calcitriol Soft Capsules,国药准字HJ20140598,中文名称：无;英文名称：Bone Guardian Limited,"55 Baker Street, London, W1U 7EU, United Kingdom",中文名称：无;英文名称：Catalent Germany Eberbach GmbH,"Gammelsbacher Strasse 2, Eberbach, D-69412, Germany",法玛诺唯亚（上海）医药咨询有限责任公司,上海市长宁区延安西路500号2713室,"1. 生产厂""Catalent Germany Eberbach GmbH""地址描述变更为""Gammelsbacher Strasse 2, Eberbach, D-69412, Germany"" ；2. 包装厂""F. Hoffmann-La Roche Ltd""名称描述变更为""F Hoffmann-La Roche AG""，地址描述变更为""Wurmisweg, Kaiseraugst, CH-4303, Switzerland"" ；3. 包装厂""Delpharm Poznań S.A.""名称描述变更为""Delpharm Poznan Spolka Akcyjna""，地址描述变更为""Ulica Grunwaldzka 189, Poznan, PL-60-322, Poland"" ；4. 就上述变更事项修订本品标签说明书中的对应项目；5. 外盒标签中贮藏条件描述变更为""遮光，密闭，25℃以下干燥处保存。""；6. 说明书：（1）删除境内联系机构信息，增加境内责任人信息；（2）增加二级包装厂信息。",2025-08-06,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025002004,中文：碘化油注射液;英文/拉丁文：Iodinated Oil Injection,国药准字HJ20171362,中文名称：----;英文名称：GUERBET,"BP 57400, F-95943 Roissy CdG Cedex, France",中文名称：----;英文名称：GUERBET,"16-24 rue Jean Chaptal, 93600 Aulnay-sous-Bois, France",加栢药业（温州）有限公司,浙江省温州市瓯海区梧田街道瓯海经济开发区东方南路50号温州市国家大学科技园8号楼3楼303-313室,"1.根据国家药监局关于实施2025年版《中华人民共和国药典》有关事宜的公告（2025年第32号），经持有人评估，本品所执行的药品注册标准可直接适用新版中国药典，将标准中所有引用通则之处的描述更新为“中国药典2025年版四部通则XXXX”。本次变更仅为药典版本号的更新，不涉及任何检验项目、方法及限度的修订。
2.依据补充申请批准通知书（编号：2024B00183）的附件说明书和标签，将注册标准中的【贮藏】同步更新为：避光，密闭保存。
3.按照国家药监局药审中心关于发布《中药、化学药品及生物制品生产工艺、质量标准通用格式和撰写指南》的通告（2021年第32号）附件2的格式，在标准中增加【药品上市许可持有人】项。",2025-08-19,国家药品监督管理局药品审评中心,已备案
国备2025002371,中文：波生坦片;英文/拉丁文：Bosentan Tablets,国药准字HJ20250001,中文名称：无;英文名称：Dr. Reddy’s Laboratories Limited,"Formulation Tech Ops Ⅱ, Survey No 42p,43,44p,45p,46p,53,54 & 83, Bachupally Village, Bachupally Mandal, Medchal Malkajgiri District - 500090, Telangana State, India",中文名称：无;英文名称：Dr. Reddy’s Laboratories Limited,"Formulation Tech Ops Ⅱ, Survey No 42p,43,44p,45p,46p,53,54 & 83, Bachupally Village, Bachupally Mandal, Medchal Malkajgiri District - 500090, Telangana State, India",昆山龙灯瑞迪制药有限公司,江苏省昆山开发区黄浦江中路2158号,根据国家药监局关于实施2025年版《中华人民共和国药典》有关事宜的公告（2025年第32号）的要求，将波生坦片药品注册标准JX20240161中的通则从“中国药典2020年版四部通则”变更为“中国药典2025年版四部通则”。,2025-09-19,国家药品监督管理局药品审评中心,已备案
国备2025002228,中文：达沙替尼片;英文/拉丁文：Dasatinib Tablets,国药准字HJ20240085,中文名称：无;英文名称：Dr. Reddy's Laboratories Limited,"Formulation Unit-VII, Plot Nos. P1 to P9, Phase-III, VSEZ, Duvvada, Visakhapatnam District 530046, Andhra Pradesh, India",中文名称：无;英文名称：Dr. Reddy's Laboratories Limited,"Formulation Unit-VII, Plot Nos. P1 to P9, Phase-III, VSEZ, Duvvada, Visakhapatnam District 530046, Andhra Pradesh, India",昆山龙灯瑞迪制药有限公司,江苏省昆山开发区黄浦江中路2158号,根据国家药监局关于实施2025年版《中华人民共和国药典》有关事宜的公告（2025年第32号）的要求，将达沙替尼片药品注册标准JX20240081中【检查】项下的有关物质、含量均匀度、水分、其他和【含量测定】的通则从“中国药典2020年版四部通则”变更为“中国药典2025年版四部通则”，其他内容保持不变。,2025-09-05,国家药品监督管理局药品审评中心,已备案
Y国备2025001976,中文：酒石酸伐尼克兰;英文/拉丁文：Varenicline Tartrate,Y20230000688,中文名称：无;英文名称：Lee Pharma Limited,"Sy No.10/G-1, Gaddapotharam (V), Jinnaram (M), Sangareddy (D) Telangana State., Gaddapotharam village, Jinnaram mandal, Sangareddy district, Pincode 502319, Telangana State, India",中文名称：无;英文名称：Lee Pharma Limited,"Sy No.10/G-1, Gaddapotharam (V), Jinnaram (M), Sangareddy (D) Telangana State., Gaddapotharam village, Jinnaram mandal, Sangareddy district, Pincode 502319, Telangana State, India",上海佰利源医药科技有限公司,上海市闵行区中春路988号11幢2楼,"①标签增加CAS号
②标签地址由“Sy.No.10/G-1, Gaddapotharam villege, Jinnaram mandal, Sangareddy dist, Telangana State”修改为“Sy No.10/G-1, Gaddapotharam (V), Jinnaram (M), Sangareddy (D) Telangana State., Gaddapotharam village, Jinnaram mandal, Sangareddy district, Pincode 502319, Telangana State, India”，与公示平台一致。
③注册代理机构地址变更，由“上海市闵行区颛兴东路1277弄54号402室”修改为“上海市闵行区中春路988号11幢2楼”。",2025-08-14,国家药品监督管理局药品审评中心,已备案
国备2025001856,中文：盐酸达利雷生片;英文/拉丁文：Daridorexant Hydrochloride Tablets,国药准字HJ20250072,中文名称：无;英文名称：Idorsia Pharmaceuticals Deutschland GmbH,"Marie-Curie-Strasse 8, 79539 Lörrach, Germany",中文名称：无;英文名称：Farmea,"10 rue Bouché Thomas, ZAC D'Orgemont, 49000 Angers, France",江苏先声药业有限公司,南京市玄武区玄武大道699 -18号5幢5层,盐酸达利雷生片25mg在海南先声有限公司进行分包装。,2025-07-30,国家药品监督管理局药品审评中心,已备案
国备2025001966,中文：枸橼酸西地那非片;英文/拉丁文：Sildenafil Citrate Tablets,国药准字HJ20240133,中文名称：无;英文名称：Maxmind Pharmaceutical GmbH,"Calle Copenhague, N.12, Oficina 205, Edificio Tifán, 28232 Las Rozas, Madrid, Spain",中文名称：无;英文名称：Macleods Pharmaceuticals limited,"Village Theda, Post Office Lodhimajra,Tehsil Baddi, District Solan, Himachal Pradesh-174101, India",美享生物科技（海南）有限公司,海南省澄迈县老城经济开发区海南生态软件园博院路南侧综合服务区A栋503房,新增“4片/板，900板/箱”包装规格，本品仅供汕头经济特区明治医药有限公司分包装生产用。,2025-08-12,国家药品监督管理局药品审评中心,已备案
国备2025001964,中文：枸橼酸西地那非片;英文/拉丁文：Sildenafil Citrate Tablets,国药准字HJ20240132,中文名称：无;英文名称：Maxmind Pharmaceutical GmbH,"Dorotheenstrasse 48, 22301 Hamburg, Germany",中文名称：无;英文名称：Macleods Pharmaceuticals limited,"Village Theda, Post Office Lodhimajra,Tehsil Baddi, District Solan, Himachal Pradesh-174101, India",美享生物科技（海南）有限公司,海南省澄迈县老城经济开发区海南生态软件园博院路南侧综合服务区A栋503房,新增“（1）2片/板，900板/箱。（2）4片/板，900板/箱。（3）5片/板，900板/箱。”包装规格，本品仅供汕头经济特区明治医药有限公司分包装生产用。,2025-08-12,国家药品监督管理局药品审评中心,已备案
国备2025001886,中文：钆特酸葡胺注射液;英文/拉丁文：Gadoteric Acid Meglumine Salt Injection,国药准字HJ20240158,中文名称：----;英文名称：JSC“Farmak”,"63, Kyrylivska str., Kyiv, 04080, Ukraine.",中文名称：----;英文名称：JSC“Farmak”,"74, Kyrylivska str., Kyiv, 04080, Ukraine.",上海礼易医药科技有限公司,上海市普陀区宜昌路458 弄8 号四楼490 室,"本品此次备案内容有：一、说明书：1.新增“修改日期”信息；2.不再保留【境内联系机构】信息；3. 新增【境内责任人】信息，包括名称、地址、联系方式。
二、内包装标签（瓶贴）：1.增加了持有人JSC“Farmak”公司的logo；2.显著标明规格15ml。
三、外包装标签（小盒）：1.不再保留【境内联系机构】信息；2.使用了“礼西康”注册商标；3.增加了持有人JSC“Farmak”公司的logo；4.增加了药品追溯码。
四、外包装箱标签：1.使用了“礼西康”注册商标；2.增加了3个运输标识。",2025-08-02,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025002356,中文：贝米肝素钠注射液;英文/拉丁文：Bemiparin Sodium Injection,国药准字HJ20140019,"中文名称：无;英文名称：LABORATORIOS FARMACEUTICOS ROVI, S.A.","Julián Camarillo, 35 28037 Madrid, Spain","中文名称：无;英文名称：ROVI PHARMA INDUSTRIAL SERVICES, S.A.","Julián Camarillo, 35 28037 Madrid, Spain",海纳阳光（北京）医药控股有限公司,北京市西城区宣武门外大街10号第二座1008室,增加本品在中国境内的分包装，即对已完成内包装的药品进行外包装、放置说明书等，分包装生产企业为天津怀仁制药有限公司。,2025-09-18,国家药品监督管理局药品审评中心,已备案
国备2025001865,中文：盐酸厄洛替尼片;英文/拉丁文：Erlotinib Hydrochloride Tablets,国药准字HJ20240115,中文名称：————;英文名称：Dr. Reddy's Laboratories Limited,"Formulation Unit -VII, Plot Nos. P1 to P9, Phase-III, VSEZ, Duvvada, Visakhapatnam District 530046, Andhra Pradesh, India.",中文名称：————;英文名称：Dr. Reddy's Laboratories Limited,"Formulation Unit -VII, Plot Nos. P1 to P9, Phase-III, VSEZ, Duvvada, Visakhapatnam District 530046, Andhra Pradesh, India.",瑞迪博士（北京）药业有限公司,北京市朝阳区建国路91号院8号楼15层1509单元,将为中国市场首次生产的150mg规格商业批次产品，在包衣阶段后将其中一个生产批次（相当于115，000片）拆分成两个包装批次进行包装工艺验证。,2025-07-30,国家药品监督管理局药品审评中心,已备案
Y国备2025002216,中文：西甲硅油;英文/拉丁文：Simethicone,Y20200001358,"中文名称：DDP Specialty Electronic Materials US 9, LLC;英文名称：DDP Specialty Electronic Materials US 9, LLC","974 Centre Road, Wilmington DE, 19805, USA","中文名称：DDP Specialty Electronic Materials US 9, LLC;英文名称：DDP Specialty Electronic Materials US 9, LLC","1635 N. Gleaner Road, Hemlock, MI 48626, United States of America",杜邦（深圳）投资有限公司,深圳市福田区沙头街道天安社区泰然七路25号泰然苍松大厦1901-065,将注册代理机构由杜邦中国集团有限公司变更为杜邦（深圳）投资有限公司,2025-09-05,国家药品监督管理局药品审评中心,已备案
国备2025002355,中文：贝米肝素钠注射液;英文/拉丁文：Bemiparin Sodium Injection,国药准字HJ20140018,"中文名称：无;英文名称：LABORATORIOS FARMACEUTICOS ROVI, S.A.","Julián Camarillo, 35 28037 Madrid, Spain","中文名称：无;英文名称：ROVI PHARMA INDUSTRIAL SERVICES, S.A.","Julián Camarillo, 35 28037 Madrid, Spain",海纳阳光（北京）医药控股有限公司,北京市西城区宣武门外大街10号第二座1008室,1. 增加本品在中国境内的分包装，即对已完成内包装的药品进行外包装、放置说明书等，分包装生产企业为天津怀仁制药有限公司。,2025-09-18,国家药品监督管理局药品审评中心,已备案
Y国备2025002149,中文：曲伏前列素;英文/拉丁文：Travoprost,Y20170000161,中文名称：Cayman Pharma s.r.o.;英文名称：Cayman Pharma s.r.o.,"Práce 657, 277 11 Neratovice",中文名称：Cayman Pharma s.r.o.;英文名称：Cayman Pharma s.r.o.,"Práce 657, 277 11 Neratovice",广州市桐晖药业有限公司,广州市黄埔区科学大道181号1201房1203房(仅限办公),根据国家药监局关于实施2025年版《中华人民共和国药典》有关事宜的公告（2025年第32号），将曲伏前列素注册标准（JX20150396）中引用的中国药典通则版本升级为2025年版。仅引用的药典通则升级，方法及限度等均不变。,2025-08-29,国家药品监督管理局药品审评中心,已备案
Y国备2025001921,中文：奥利司他;英文/拉丁文：ORLISTAT,Y20210000864,中文名称：Divi's Laboratories Limited;英文名称：Divi's Laboratories Limited,"1-72/23(P)/DIVIS/303, Divi Towers, Cyber Hills,Gachibowli, Hyderabad-500032, Telangana, India","中文名称：Divi's Laboratories Limited, Unit 2;英文名称：Divi's Laboratories Limited, Unit 2","Annavaram (Post), Chippada Village, Bheemunipatnam Mandal, Visakhapatnam(District) 531162, Andhra Pradesh, (State), India",肇庆市定康药业有限公司,肇庆市端州一路原大冲收费站南侧稔塘村综合楼A幢三层A4-A30,"1. 在步骤Fanta-II中回收四氢呋喃，并将回收的四氢呋喃用于同一工艺步骤。
2. 细化步骤 Fanta-IIIb 干燥与筛分中干燥温度的正常操作范围。",2025-08-06,国家药品监督管理局药品审评中心,已备案
国备2025001855,中文：盐酸达利雷生片;英文/拉丁文：Daridorexant Hydrochloride Tablets,国药准字HJ20250073,中文名称：无;英文名称：Idorsia Pharmaceuticals Deutschland GmbH,"Marie-Curie-Strasse 8, 79539 Lörrach, Germany",中文名称：无;英文名称：Farmea,"10 rue Bouché Thomas, ZAC D'Orgemont, 49000 Angers, France",江苏先声药业有限公司,南京市玄武区玄武大道699 -18号5幢5层,盐酸达利雷生片50mg在海南先声有限公司进行分包装。,2025-07-30,国家药品监督管理局药品审评中心,已备案
国备2025002083,中文：富马酸贝达喹啉片;英文/拉丁文：Bedaquiline Fumarate Tablets,国药准字HJ20171366,中文名称：Janssen-Cilag International NV;英文名称：Janssen-Cilag International NV,"Turnhoutseweg 30, B-2340 Beerse, Belgium",中文名称：Recipharm Pharmaservices Private Limited;英文名称：Recipharm Pharmaservices Private Limited,"34th KM, Tumkur Road, Teppada Begur, Nelamangala Taluk, Bangalore-562 123, India",西安杨森制药有限公司,陕西省西安市高新区草堂科技产业基地草堂四路19号，陕西省西安市高新区高新五路4号汇诚国际17F,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002060,中文：麦格司他胶囊;英文/拉丁文：Miglustat Capsules,国药准字HJ20160635,中文名称：Janssen-Cilag International NV;英文名称：Janssen-Cilag International NV,"Turnhoutseweg 30,B-2340 Beerse,Belgium",中文名称：Almac Pharma Services Limited;英文名称：Almac Pharma Services Limited,"Seagoe Industrial Estate,Craigavon,Co.Armagh BT63 5UA,United Kingdom",强生制药有限公司,北京市顺义区金航东路3号院11号楼610室（天竺综合保税区）,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002093,中文：司来帕格片;英文/拉丁文：Selexipag Tablets,国药准字HJ20180085,中文名称：Actelion Pharmaceuticals Ltd;英文名称：Actelion Pharmaceuticals Ltd,"Gewerbestrasse 16, 4123 Allschwil, Switzerland",中文名称：Excella GmbH & Co. KG;英文名称：Excella GmbH & Co. KG,"Nürnberger Str.12, 90537, Feucht, Germany",强生制药有限公司,北京市顺义区金航东路3号院11号楼610室（天竺综合保税区）,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002092,中文：司来帕格片;英文/拉丁文：Selexipag Tablets,国药准字HJ20180084,中文名称：Actelion Pharmaceuticals Ltd;英文名称：Actelion Pharmaceuticals Ltd,"Gewerbestrasse 16, 4123 Allschwil, Switzerland",中文名称：Excella GmbH & Co. KG;英文名称：Excella GmbH & Co. KG,"Nürnberger Str.12, 90537, Feucht, Germany",强生制药有限公司,北京市顺义区金航东路3号院11号楼610室（天竺综合保税区）,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002091,中文：司来帕格片;英文/拉丁文：Selexipag Tablets,国药准字HJ20180083,中文名称：Actelion Pharmaceuticals Ltd;英文名称：Actelion Pharmaceuticals Ltd,"Gewerbestrasse 16, 4123 Allschwil, Switzerland",中文名称：Excella GmbH & Co. KG;英文名称：Excella GmbH & Co. KG,"Nürnberger Str.12, 90537, Feucht, Germany",强生制药有限公司,北京市顺义区金航东路3号院11号楼610室（天竺综合保税区）,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002089,中文：司来帕格片;英文/拉丁文：Selexipag Tablets,国药准字HJ20180081,中文名称：Actelion Pharmaceuticals Ltd;英文名称：Actelion Pharmaceuticals Ltd,"Gewerbestrasse 16, 4123 Allschwil, Switzerland",中文名称：Excella GmbH & Co. KG;英文名称：Excella GmbH & Co. KG,"Nürnberger Str.12, 90537, Feucht, Germany",强生制药有限公司,北京市顺义区金航东路3号院11号楼610室（天竺综合保税区）,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002090,中文：司来帕格片;英文/拉丁文：Selexipag Tablets,国药准字HJ20180082,中文名称：Actelion Pharmaceuticals Ltd;英文名称：Actelion Pharmaceuticals Ltd,"Gewerbestrasse 16, 4123 Allschwil, Switzerland",中文名称：Excella GmbH & Co. KG;英文名称：Excella GmbH & Co. KG,"Nürnberger Str.12, 90537, Feucht, Germany",强生制药有限公司,北京市顺义区金航东路3号院11号楼610室（天竺综合保税区）,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002088,中文：司来帕格片;英文/拉丁文：Selexipag Tablets,国药准字HJ20180080,中文名称：Actelion Pharmaceuticals Ltd;英文名称：Actelion Pharmaceuticals Ltd,"Gewerbestrasse 16, 4123 Allschwil, Switzerland",中文名称：Excella GmbH & Co. KG;英文名称：Excella GmbH & Co. KG,"Nürnberger Str.12, 90537, Feucht, Germany",强生制药有限公司,北京市顺义区金航东路3号院11号楼610室（天竺综合保税区）,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002087,中文：司来帕格片;英文/拉丁文：Selexipag Tablets,国药准字HJ20180079,中文名称：Actelion Pharmaceuticals Ltd;英文名称：Actelion Pharmaceuticals Ltd,"Gewerbestrasse 16, 4123 Allschwil, Switzerland",中文名称：Excella GmbH & Co. KG;英文名称：Excella GmbH & Co. KG,"Nürnberger Str.12, 90537, Feucht, Germany",强生制药有限公司,北京市顺义区金航东路3号院11号楼610室（天竺综合保税区）,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002086,中文：司来帕格片;英文/拉丁文：Selexipag Tablets,国药准字HJ20180078,中文名称：Actelion Pharmaceuticals Ltd;英文名称：Actelion Pharmaceuticals Ltd,"Gewerbestrasse 16, 4123 Allschwil, Switzerland",中文名称：Excella GmbH & Co. KG;英文名称：Excella GmbH & Co. KG,"Nürnberger Str.12, 90537, Feucht, Germany",强生制药有限公司,北京市顺义区金航东路3号院11号楼610室（天竺综合保税区）,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025001915,中文：左甲状腺素钠片;英文/拉丁文：Levothyroxine Sodium Tablets,HJ20240060,中文名称：Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A;英文名称：Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A,"14th km National Road 1, Kifissia GR-145 64，Greece",中文名称：Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A;英文名称：Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A,"Building B 14th km National Road 1, Kifissia GR-145 64 Greece",广东利玮医药有限公司,广东省广州市越秀区先烈中路100号大院23栋之一418房,在药品说明书中增加【境内责任人】信息。,2025-08-06,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025002026,中文：盐酸哌甲酯缓释片;英文/拉丁文：Methylphenidate Hydrochloride Prolonged-Release Tablets,国药准字HJ20170262,"中文名称：Janssen Pharmaceuticals, Inc.;英文名称：Janssen Pharmaceuticals, Inc.","1125 Trenton-Harbourton Road, Titusville, NJ 08560 United States of America","中文名称：Janssen-Cilag Manufacturing, LLC;英文名称：Janssen-Cilag Manufacturing, LLC","State Road 933, KM 0.1, Mamey Ward, Gurabo, PUERTO RICO 00778, United States (USA)",西安杨森制药有限公司,陕西省西安市高新区草堂科技产业基地草堂四路19号，陕西省西安市高新区高新五路4号汇诚国际17F,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-20,国家药品监督管理局药品审评中心,已备案
